"Session","Topic","Day","Month","Weekday","Time","timezone"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","08:30 - 09:45","America/Edmonton"
"Coffee Break","Socializing","10","10","Saturday","09:45 - 10:00","America/Edmonton"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","10:00 - 11:30","America/Edmonton"
"Meal Break","-","10","10","Saturday","11:30 - 12:30","America/Edmonton"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","12:30 - 13:45","America/Edmonton"
"Session 4.5","Press Conference","10","10","Saturday","13:45 - 14:00","America/Edmonton"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","08:00 - 09:15","America/Edmonton"
"Coffee Break","Socializing","11","10","Sunday","09:15 - 09:30","America/Edmonton"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","09:30 - 11:00","America/Edmonton"
"Meal Break","-","11","10","Sunday","11:00 - 12:00","America/Edmonton"
"Session 5.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","12:00 - 13:15","America/Edmonton"
"Session 5.4","Press Conference","11","10","Sunday","13:15 - 13:45","America/Edmonton"
"Closing Ceremony","Final Statement / Socializing","11","10","Sunday","13:45 - 14:00","America/Edmonton"
"Session 1.1","Opening Speech","19","9","Saturday","09:00 - 09:15","America/Eirunepe"
"Session 1.2","Team Introduction","19","9","Saturday","09:15 - 09:45","America/Eirunepe"
"Coffee Break","Socializing","19","9","Saturday","09:45 - 10:00","America/Eirunepe"
"Session 1.3","Introduction to Zoom","19","9","Saturday","10:00 - 10:15","America/Eirunepe"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","10:15 - 10:30","America/Eirunepe"
"Session 1.5","Questions","19","9","Saturday","10:30 - 10:45","America/Eirunepe"
"Session 1.6","Socializing","19","9","Saturday","10:45 - 11:30","America/Eirunepe"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","09:00 - 09:30","America/Eirunepe"
"Session 2.2","Questions","26","9","Saturday","09:30 - 09:45","America/Eirunepe"
"Coffee Break","Socializing","26","9","Saturday","09:45 - 10:00","America/Eirunepe"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","10:00 - 10:30","America/Eirunepe"
"Session 2.4","Questions","26","9","Saturday","10:30 - 10:45","America/Eirunepe"
"Coffee Break","Socializing","26","9","Saturday","10:45 - 11:00","America/Eirunepe"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","11:00 - 12:00","America/Eirunepe"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","09:00 - 09:30","America/Eirunepe"
"Session 3.2","Questions","3","10","Saturday","09:30 - 09:45","America/Eirunepe"
"Coffee Break","Socializing","3","10","Saturday","09:45 - 10:00","America/Eirunepe"
"Session 3.3","Input on NATO policy","3","10","Saturday","10:00 - 10:30","America/Eirunepe"
"Session 3.4","Questions","3","10","Saturday","10:30 - 11:00","America/Eirunepe"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","09:00 - 09:30","America/Eirunepe"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","09:30 - 10:45","America/Eirunepe"
"Coffee Break","Socializing","10","10","Saturday","10:45 - 11:00","America/Eirunepe"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","11:00 - 12:30","America/Eirunepe"
"Meal Break","-","10","10","Saturday","12:30 - 13:30","America/Eirunepe"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","13:30 - 14:45","America/Eirunepe"
"Session 4.5","Press Conference","10","10","Saturday","14:45 - 15:00","America/Eirunepe"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","09:00 - 10:15","America/Eirunepe"
"Coffee Break","Socializing","11","10","Sunday","10:15 - 10:30","America/Eirunepe"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","10:30 - 12:00","America/Eirunepe"
"Meal Break","-","11","10","Sunday","12:00 - 13:00","America/Eirunepe"
"Session 5.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","13:00 - 14:15","America/Eirunepe"
"Session 5.4","Press Conference","11","10","Sunday","14:15 - 14:45","America/Eirunepe"
"Closing Ceremony","Final Statement / Socializing","11","10","Sunday","14:45 - 15:00","America/Eirunepe"
"Session 1.1","Opening Speech","19","9","Saturday","08:00 - 08:15","America/El_Salvador"
"Session 1.2","Team Introduction","19","9","Saturday","08:15 - 08:45","America/El_Salvador"
"Coffee Break","Socializing","19","9","Saturday","08:45 - 09:00","America/El_Salvador"
"Session 1.3","Introduction to Zoom","19","9","Saturday","09:00 - 09:15","America/El_Salvador"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","09:15 - 09:30","America/El_Salvador"
"Session 1.5","Questions","19","9","Saturday","09:30 - 09:45","America/El_Salvador"
"Session 1.6","Socializing","19","9","Saturday","09:45 - 10:30","America/El_Salvador"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","08:00 - 08:30","America/El_Salvador"
"Session 2.2","Questions","26","9","Saturday","08:30 - 08:45","America/El_Salvador"
"Coffee Break","Socializing","26","9","Saturday","08:45 - 09:00","America/El_Salvador"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","09:00 - 09:30","America/El_Salvador"
"Session 2.4","Questions","26","9","Saturday","09:30 - 09:45","America/El_Salvador"
"Coffee Break","Socializing","26","9","Saturday","09:45 - 10:00","America/El_Salvador"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","10:00 - 11:00","America/El_Salvador"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","08:00 - 08:30","America/El_Salvador"
"Session 3.2","Questions","3","10","Saturday","08:30 - 08:45","America/El_Salvador"
"Coffee Break","Socializing","3","10","Saturday","08:45 - 09:00","America/El_Salvador"
"Session 3.3","Input on NATO policy","3","10","Saturday","09:00 - 09:30","America/El_Salvador"
"Session 3.4","Questions","3","10","Saturday","09:30 - 10:00","America/El_Salvador"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","08:00 - 08:30","America/El_Salvador"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","08:30 - 09:45","America/El_Salvador"
"Coffee Break","Socializing","10","10","Saturday","09:45 - 10:00","America/El_Salvador"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","10:00 - 11:30","America/El_Salvador"
"Meal Break","-","10","10","Saturday","11:30 - 12:30","America/El_Salvador"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","12:30 - 13:45","America/El_Salvador"
"Session 4.5","Press Conference","10","10","Saturday","13:45 - 14:00","America/El_Salvador"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","08:00 - 09:15","America/El_Salvador"
"Coffee Break","Socializing","11","10","Sunday","09:15 - 09:30","America/El_Salvador"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","09:30 - 11:00","America/El_Salvador"
"Meal Break","-","11","10","Sunday","11:00 - 12:00","America/El_Salvador"
"Session 5.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","12:00 - 13:15","America/El_Salvador"
"Session 5.4","Press Conference","11","10","Sunday","13:15 - 13:45","America/El_Salvador"
"Closing Ceremony","Final Statement / Socializing","11","10","Sunday","13:45 - 14:00","America/El_Salvador"
"Session 1.1","Opening Speech","19","9","Saturday","07:00 - 07:15","America/Ensenada"
"Session 1.2","Team Introduction","19","9","Saturday","07:15 - 07:45","America/Ensenada"
"Coffee Break","Socializing","19","9","Saturday","07:45 - 08:00","America/Ensenada"
"Session 1.3","Introduction to Zoom","19","9","Saturday","08:00 - 08:15","America/Ensenada"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","08:15 - 08:30","America/Ensenada"
"Session 1.5","Questions","19","9","Saturday","08:30 - 08:45","America/Ensenada"
"Session 1.6","Socializing","19","9","Saturday","08:45 - 09:30","America/Ensenada"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","07:00 - 07:30","America/Ensenada"
"Session 2.2","Questions","26","9","Saturday","07:30 - 07:45","America/Ensenada"
"Coffee Break","Socializing","26","9","Saturday","07:45 - 08:00","America/Ensenada"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","08:00 - 08:30","America/Ensenada"
"Session 2.4","Questions","26","9","Saturday","08:30 - 08:45","America/Ensenada"
"Coffee Break","Socializing","26","9","Saturday","08:45 - 09:00","America/Ensenada"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","09:00 - 10:00","America/Ensenada"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","07:00 - 07:30","America/Ensenada"
"Session 3.2","Questions","3","10","Saturday","07:30 - 07:45","America/Ensenada"
"Coffee Break","Socializing","3","10","Saturday","07:45 - 08:00","America/Ensenada"
"Session 3.3","Input on NATO policy","3","10","Saturday","08:00 - 08:30","America/Ensenada"
"Session 3.4","Questions","3","10","Saturday","08:30 - 09:00","America/Ensenada"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","07:00 - 07:30","America/Ensenada"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","07:30 - 08:45","America/Ensenada"
"Coffee Break","Socializing","10","10","Saturday","08:45 - 09:00","America/Ensenada"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","09:00 - 10:30","America/Ensenada"
"Meal Break","-","10","10","Saturday","10:30 - 11:30","America/Ensenada"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","11:30 - 12:45","America/Ensenada"
"Session 4.5","Press Conference","10","10","Saturday","12:45 - 13:00","America/Ensenada"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","07:00 - 08:15","America/Ensenada"
"Coffee Break","Socializing","11","10","Sunday","08:15 - 08:30","America/Ensenada"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","08:30 - 10:00","America/Ensenada"
"Meal Break","-","11","10","Sunday","10:00 - 11:00","America/Ensenada"
"Session 5.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","11:00 - 12:15","America/Ensenada"
"Session 5.4","Press Conference","11","10","Sunday","12:15 - 12:45","America/Ensenada"
"Closing Ceremony","Final Statement / Socializing","11","10","Sunday","12:45 - 13:00","America/Ensenada"
"Session 1.1","Opening Speech","19","9","Saturday","07:00 - 07:15","America/Fort_Nelson"
"Session 1.2","Team Introduction","19","9","Saturday","07:15 - 07:45","America/Fort_Nelson"
"Coffee Break","Socializing","19","9","Saturday","07:45 - 08:00","America/Fort_Nelson"
"Session 1.3","Introduction to Zoom","19","9","Saturday","08:00 - 08:15","America/Fort_Nelson"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","08:15 - 08:30","America/Fort_Nelson"
"Session 1.5","Questions","19","9","Saturday","08:30 - 08:45","America/Fort_Nelson"
"Session 1.6","Socializing","19","9","Saturday","08:45 - 09:30","America/Fort_Nelson"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","07:00 - 07:30","America/Fort_Nelson"
"Session 2.2","Questions","26","9","Saturday","07:30 - 07:45","America/Fort_Nelson"
"Coffee Break","Socializing","26","9","Saturday","07:45 - 08:00","America/Fort_Nelson"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","08:00 - 08:30","America/Fort_Nelson"
"Session 2.4","Questions","26","9","Saturday","08:30 - 08:45","America/Fort_Nelson"
"Coffee Break","Socializing","26","9","Saturday","08:45 - 09:00","America/Fort_Nelson"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","09:00 - 10:00","America/Fort_Nelson"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","07:00 - 07:30","America/Fort_Nelson"
"Session 3.2","Questions","3","10","Saturday","07:30 - 07:45","America/Fort_Nelson"
"Coffee Break","Socializing","3","10","Saturday","07:45 - 08:00","America/Fort_Nelson"
"Session 3.3","Input on NATO policy","3","10","Saturday","08:00 - 08:30","America/Fort_Nelson"
"Session 3.4","Questions","3","10","Saturday","08:30 - 09:00","America/Fort_Nelson"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","07:00 - 07:30","America/Fort_Nelson"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","07:30 - 08:45","America/Fort_Nelson"
"Coffee Break","Socializing","10","10","Saturday","08:45 - 09:00","America/Fort_Nelson"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","09:00 - 10:30","America/Fort_Nelson"
"Meal Break","-","10","10","Saturday","10:30 - 11:30","America/Fort_Nelson"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","11:30 - 12:45","America/Fort_Nelson"
"Session 4.5","Press Conference","10","10","Saturday","12:45 - 13:00","America/Fort_Nelson"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","07:00 - 08:15","America/Fort_Nelson"
"Coffee Break","Socializing","11","10","Sunday","08:15 - 08:30","America/Fort_Nelson"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","08:30 - 10:00","America/Fort_Nelson"
"Meal Break","-","11","10","Sunday","10:00 - 11:00","America/Fort_Nelson"
"Session 5.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","11:00 - 12:15","America/Fort_Nelson"
"Session 5.4","Press Conference","11","10","Sunday","12:15 - 12:45","America/Fort_Nelson"
"Closing Ceremony","Final Statement / Socializing","11","10","Sunday","12:45 - 13:00","America/Fort_Nelson"
"Session 1.1","Opening Speech","19","9","Saturday","10:00 - 10:15","America/Fort_Wayne"
"Session 1.2","Team Introduction","19","9","Saturday","10:15 - 10:45","America/Fort_Wayne"
"Coffee Break","Socializing","19","9","Saturday","10:45 - 11:00","America/Fort_Wayne"
"Session 1.3","Introduction to Zoom","19","9","Saturday","11:00 - 11:15","America/Fort_Wayne"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","11:15 - 11:30","America/Fort_Wayne"
"Session 1.5","Questions","19","9","Saturday","11:30 - 11:45","America/Fort_Wayne"
"Session 1.6","Socializing","19","9","Saturday","11:45 - 12:30","America/Fort_Wayne"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","10:00 - 10:30","America/Fort_Wayne"
"Session 2.2","Questions","26","9","Saturday","10:30 - 10:45","America/Fort_Wayne"
"Coffee Break","Socializing","26","9","Saturday","10:45 - 11:00","America/Fort_Wayne"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","11:00 - 11:30","America/Fort_Wayne"
"Session 2.4","Questions","26","9","Saturday","11:30 - 11:45","America/Fort_Wayne"
"Coffee Break","Socializing","26","9","Saturday","11:45 - 12:00","America/Fort_Wayne"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","12:00 - 13:00","America/Fort_Wayne"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","10:00 - 10:30","America/Fort_Wayne"
"Session 3.2","Questions","3","10","Saturday","10:30 - 10:45","America/Fort_Wayne"
"Coffee Break","Socializing","3","10","Saturday","10:45 - 11:00","America/Fort_Wayne"
"Session 3.3","Input on NATO policy","3","10","Saturday","11:00 - 11:30","America/Fort_Wayne"
"Session 3.4","Questions","3","10","Saturday","11:30 - 12:00","America/Fort_Wayne"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","10:00 - 10:30","America/Fort_Wayne"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","10:30 - 11:45","America/Fort_Wayne"
"Coffee Break","Socializing","10","10","Saturday","11:45 - 12:00","America/Fort_Wayne"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","12:00 - 13:30","America/Fort_Wayne"
"Meal Break","-","10","10","Saturday","13:30 - 14:30","America/Fort_Wayne"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","14:30 - 15:45","America/Fort_Wayne"
"Session 4.5","Press Conference","10","10","Saturday","15:45 - 16:00","America/Fort_Wayne"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","10:00 - 11:15","America/Fort_Wayne"
"Coffee Break","Socializing","11","10","Sunday","11:15 - 11:30","America/Fort_Wayne"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","11:30 - 13:00","America/Fort_Wayne"
"Meal Break","-","11","10","Sunday","13:00 - 14:00","America/Fort_Wayne"
"Session 5.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","14:00 - 15:15","America/Fort_Wayne"
"Session 5.4","Press Conference","11","10","Sunday","15:15 - 15:45","America/Fort_Wayne"
"Closing Ceremony","Final Statement / Socializing","11","10","Sunday","15:45 - 16:00","America/Fort_Wayne"
"Session 1.1","Opening Speech","19","9","Saturday","11:00 - 11:15","America/Fortaleza"
"Session 1.2","Team Introduction","19","9","Saturday","11:15 - 11:45","America/Fortaleza"
"Coffee Break","Socializing","19","9","Saturday","11:45 - 12:00","America/Fortaleza"
"Session 1.3","Introduction to Zoom","19","9","Saturday","12:00 - 12:15","America/Fortaleza"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","12:15 - 12:30","America/Fortaleza"
"Session 1.5","Questions","19","9","Saturday","12:30 - 12:45","America/Fortaleza"
"Session 1.6","Socializing","19","9","Saturday","12:45 - 13:30","America/Fortaleza"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","11:00 - 11:30","America/Fortaleza"
"Session 2.2","Questions","26","9","Saturday","11:30 - 11:45","America/Fortaleza"
"Coffee Break","Socializing","26","9","Saturday","11:45 - 12:00","America/Fortaleza"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","12:00 - 12:30","America/Fortaleza"
"Session 2.4","Questions","26","9","Saturday","12:30 - 12:45","America/Fortaleza"
"Coffee Break","Socializing","26","9","Saturday","12:45 - 13:00","America/Fortaleza"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","13:00 - 14:00","America/Fortaleza"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","11:00 - 11:30","America/Fortaleza"
"Session 3.2","Questions","3","10","Saturday","11:30 - 11:45","America/Fortaleza"
"Coffee Break","Socializing","3","10","Saturday","11:45 - 12:00","America/Fortaleza"
"Session 3.3","Input on NATO policy","3","10","Saturday","12:00 - 12:30","America/Fortaleza"
"Session 3.4","Questions","3","10","Saturday","12:30 - 13:00","America/Fortaleza"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","11:00 - 11:30","America/Fortaleza"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","11:30 - 12:45","America/Fortaleza"
"Coffee Break","Socializing","10","10","Saturday","12:45 - 13:00","America/Fortaleza"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","13:00 - 14:30","America/Fortaleza"
"Meal Break","-","10","10","Saturday","14:30 - 15:30","America/Fortaleza"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","15:30 - 16:45","America/Fortaleza"
"Session 4.5","Press Conference","10","10","Saturday","16:45 - 17:00","America/Fortaleza"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","11:00 - 12:15","America/Fortaleza"
"Coffee Break","Socializing","11","10","Sunday","12:15 - 12:30","America/Fortaleza"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","12:30 - 14:00","America/Fortaleza"
"Meal Break","-","11","10","Sunday","14:00 - 15:00","America/Fortaleza"
"Session 5.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","15:00 - 16:15","America/Fortaleza"
"Session 5.4","Press Conference","11","10","Sunday","16:15 - 16:45","America/Fortaleza"
"Closing Ceremony","Final Statement / Socializing","11","10","Sunday","16:45 - 17:00","America/Fortaleza"
"Session 1.1","Opening Speech","19","9","Saturday","11:00 - 11:15","America/Glace_Bay"
"Session 1.2","Team Introduction","19","9","Saturday","11:15 - 11:45","America/Glace_Bay"
"Coffee Break","Socializing","19","9","Saturday","11:45 - 12:00","America/Glace_Bay"
"Session 1.3","Introduction to Zoom","19","9","Saturday","12:00 - 12:15","America/Glace_Bay"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","12:15 - 12:30","America/Glace_Bay"
"Session 1.5","Questions","19","9","Saturday","12:30 - 12:45","America/Glace_Bay"
"Session 1.6","Socializing","19","9","Saturday","12:45 - 13:30","America/Glace_Bay"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","11:00 - 11:30","America/Glace_Bay"
"Session 2.2","Questions","26","9","Saturday","11:30 - 11:45","America/Glace_Bay"
"Coffee Break","Socializing","26","9","Saturday","11:45 - 12:00","America/Glace_Bay"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","12:00 - 12:30","America/Glace_Bay"
"Session 2.4","Questions","26","9","Saturday","12:30 - 12:45","America/Glace_Bay"
"Coffee Break","Socializing","26","9","Saturday","12:45 - 13:00","America/Glace_Bay"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","13:00 - 14:00","America/Glace_Bay"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","11:00 - 11:30","America/Glace_Bay"
"Session 3.2","Questions","3","10","Saturday","11:30 - 11:45","America/Glace_Bay"
"Coffee Break","Socializing","3","10","Saturday","11:45 - 12:00","America/Glace_Bay"
"Session 3.3","Input on NATO policy","3","10","Saturday","12:00 - 12:30","America/Glace_Bay"
"Session 3.4","Questions","3","10","Saturday","12:30 - 13:00","America/Glace_Bay"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","11:00 - 11:30","America/Glace_Bay"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","11:30 - 12:45","America/Glace_Bay"
"Coffee Break","Socializing","10","10","Saturday","12:45 - 13:00","America/Glace_Bay"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","13:00 - 14:30","America/Glace_Bay"
"Meal Break","-","10","10","Saturday","14:30 - 15:30","America/Glace_Bay"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","15:30 - 16:45","America/Glace_Bay"
"Session 4.5","Press Conference","10","10","Saturday","16:45 - 17:00","America/Glace_Bay"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","11:00 - 12:15","America/Glace_Bay"
"Coffee Break","Socializing","11","10","Sunday","12:15 - 12:30","America/Glace_Bay"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","12:30 - 14:00","America/Glace_Bay"
"Meal Break","-","11","10","Sunday","14:00 - 15:00","America/Glace_Bay"
"Session 5.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","15:00 - 16:15","America/Glace_Bay"
"Session 5.4","Press Conference","11","10","Sunday","16:15 - 16:45","America/Glace_Bay"
"Closing Ceremony","Final Statement / Socializing","11","10","Sunday","16:45 - 17:00","America/Glace_Bay"
"Session 1.1","Opening Speech","19","9","Saturday","12:00 - 12:15","America/Godthab"
"Session 1.2","Team Introduction","19","9","Saturday","12:15 - 12:45","America/Godthab"
"Coffee Break","Socializing","19","9","Saturday","12:45 - 13:00","America/Godthab"
"Session 1.3","Introduction to Zoom","19","9","Saturday","13:00 - 13:15","America/Godthab"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","13:15 - 13:30","America/Godthab"
"Session 1.5","Questions","19","9","Saturday","13:30 - 13:45","America/Godthab"
"Session 1.6","Socializing","19","9","Saturday","13:45 - 14:30","America/Godthab"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","12:00 - 12:30","America/Godthab"
"Session 2.2","Questions","26","9","Saturday","12:30 - 12:45","America/Godthab"
"Coffee Break","Socializing","26","9","Saturday","12:45 - 13:00","America/Godthab"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","13:00 - 13:30","America/Godthab"
"Session 2.4","Questions","26","9","Saturday","13:30 - 13:45","America/Godthab"
"Coffee Break","Socializing","26","9","Saturday","13:45 - 14:00","America/Godthab"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","14:00 - 15:00","America/Godthab"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","12:00 - 12:30","America/Godthab"
"Session 3.2","Questions","3","10","Saturday","12:30 - 12:45","America/Godthab"
"Coffee Break","Socializing","3","10","Saturday","12:45 - 13:00","America/Godthab"
"Session 3.3","Input on NATO policy","3","10","Saturday","13:00 - 13:30","America/Godthab"
"Session 3.4","Questions","3","10","Saturday","13:30 - 14:00","America/Godthab"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","12:00 - 12:30","America/Godthab"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","12:30 - 13:45","America/Godthab"
"Coffee Break","Socializing","10","10","Saturday","13:45 - 14:00","America/Godthab"
"Session 4.3","NATO: Negotiations; Activists: Influencing","10","10","Saturday","14:00 - 15:30","America/Godthab"
"Meal Break","-","10","10","Saturday","15:30 - 16:30","America/Godthab"
"Session 4.4","NATO: Negotiations; Activists: Influencing","10","10","Saturday","16:30 - 17:45","America/Godthab"
"Session 4.5","Press Conference","10","10","Saturday","17:45 - 18:00","America/Godthab"
"Session 5.1","NATO: Negotiations; Activists: Influencing","11","10","Sunday","12:00 - 13:15","America/Godthab"
"Coffee Break","Socializing","11","10","Sunday","13:15 - 13:30","America/Godthab"
"Session 5.2","NATO: Negotiations; Activists: Influencing","11","10","Sunday","13:30 - 15:00","America/Godthab"
"Meal Break","-","11","10","Sunday","15:00 - 16:00","America/Godthab"
"Session 5.3","NATO: Negotiations; Activists: Influencing","11","10","Sunday","16:00 - 17:15","America/Godthab"
"Session 5.4","Press Conference","11","10","Sunday","17:15 - 17:45","America/Godthab"
"Closing Ceremony","Final Statement / Socializing","11","10","Sunday","17:45 - 18:00","America/Godthab"
"Session 1.1","Opening Speech","19","9","Saturday","11:00 - 11:15","America/Goose_Bay"
"Session 1.2","Team Introduction","19","9","Saturday","11:15 - 11:45","America/Goose_Bay"
"Coffee Break","Socializing","19","9","Saturday","11:45 - 12:00","America/Goose_Bay"
"Session 1.3","Introduction to Zoom","19","9","Saturday","12:00 - 12:15","America/Goose_Bay"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","12:15 - 12:30","America/Goose_Bay"
"Session 1.5","Questions","19","9","Saturday","12:30 - 12:45","America/Goose_Bay"
"Session 1.6","Socializing","19","9","Saturday","12:45 - 13:30","America/Goose_Bay"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","11:00 - 11:30","America/Goose_Bay"
"Session 2.2","Questions","26","9","Saturday","11:30 - 11:45","America/Goose_Bay"
"Coffee Break","Socializing","26","9","Saturday","11:45 - 12:00","America/Goose_Bay"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","12:00 - 12:30","America/Goose_Bay"
"Session 2.4","Questions","26","9","Saturday","12:30 - 12:45","America/Goose_Bay"
"Coffee Break","Socializing","26","9","Saturday","12:45 - 13:00","America/Goose_Bay"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","13:00 - 14:00","America/Goose_Bay"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","11:00 - 11:30","America/Goose_Bay"
"Session 3.2","Questions","3","10","Saturday","11:30 - 11:45","America/Goose_Bay"
